feature01;feature02;feature03;feature04;feature05;feature06;feature07;class
-1.8981634;3.2862074;-1.0471674;-0.24253967;-3.844944;-1.0110698;-3.238986;classB
-0.8323796;1.4926165;-1.0628345;-0.71099204;-1.8116709;0.3682162;-3.244587;classB
-1.5349768;1.375672;3.5755765;-1.1077275;-1.2290775;1.4647154;1.9604526;classA
0.070870355;-1.9698062;-1.1816044;0.89253384;-0.12008576;1.0888053;-3.43921;classA
-2.8238163;-2.1308212;-2.2769961;2.0480242;-0.6022909;-0.8667354;1.2802554;classB
-4.7507195;-2.1860387;0.32005432;1.8943212;-3.2682595;2.3825238;0.99180967;classB
3.6930685;-1.8870065;-1.2540766;-0.8271056;-0.5016996;2.2513204;-2.0974932;classA
-3.3050313;-3.5109463;-0.16297655;0.92409307;-4.322455;2.218878;0.77989817;classB
0.3994544;-0.010544691;-3.0668237;2.2428224;1.3077488;0.804911;-0.543029;classA
2.5757346;-3.3285837;-0.8908059;1.2824352;1.8295281;4.3229604;-2.712489;classA
-0.903168;-1.9992514;0.34966993;1.2447207;-1.802592;2.626815;-3.109876;classB
-2.7536361;-1.7968844;-0.1585264;-2.6381953;-4.3539205;-0.33874223;0.7396653;classB
-4.1893945;-3.0624785;-0.40517998;1.7567407;-3.4125645;0.38901332;0.69780034;classB
-0.64461726;3.5318913;-0.05757252;1.49898;-0.4501595;-3.6091194;3.5544837;classB
-1.6251377;-0.43251786;0.26267254;-1.3287337;0.3795001;1.0821489;-1.5910766;classB
-1.5009961;-0.3047763;-3.226684;-0.756028;-0.851296;2.2387245;-3.2084363;classB
1.6675433;-1.259007;-2.7517927;3.1017017;2.4335341;0.21455619;-0.04155378;classA
-0.8599176;2.6145046;2.0937696;-0.8541127;-1.2890095;2.9017751;0.3843223;classA
-1.4030967;-3.54379;-1.5433528;-1.0340759;-2.0157247;2.9795136;-1.2012196;classB
-1.4428762;-3.4392226;-1.320576;1.7860903;-2.1142788;-1.7964823;-0.08720694;classB
-1.9788588;-0.6254336;-1.1772612;-1.3839014;-6.3767943;2.3392055;1.3727554;classB
-1.3666844;-3.1126714;-2.9589074;-3.0623753;-1.7391831;1.8402878;-0.6702763;classB
-2.6258829;-0.7358953;-1.8787075;-1.0861241;0.080106586;1.6545051;-3.3146496;classB
-1.5823337;-0.88086635;-0.99489707;1.9782205;-3.4689238;-0.5329567;0.28686097;classB
3.6573074;-0.3269668;-2.6164646;1.0839795;-0.38990724;1.7511191;-0.6043259;classA
-1.3948298;2.3001823;1.8672433;-1.8075296;-0.58071536;0.79859495;0.7956436;classA
0.21804102;0.3905618;0.13130553;-2.6623852;-0.42489588;2.2608705;4.1936707;classA
1.8794776;1.4674766;-3.637866;1.9976492;2.1517973;-1.5856463;1.9144233;classA
-0.644489;-3.8114243;-2.2729878;-0.9188281;2.89858;1.727169;-1.320152;classA
-0.6259216;-0.3627348;-2.8547387;0.4654862;-1.482658;-0.45174316;4.130517;classB
-2.1875875;-2.400189;-1.7151701;-1.7615837;-0.84948033;1.161425;-1.0038265;classB
-2.3154368;3.7598457;3.453994;-1.1315666;0.88752455;1.5474708;-0.09563431;classA
4.791952;1.258602;-2.8770342;0.87565136;3.6174712;-2.00099;2.3839912;classA
-2.333192;0.71283084;0.40636677;1.8746918;-2.8011332;-0.035198685;1.2068005;classB
-1.0848905;-1.2613215;0.17617455;-0.8902197;-1.1970743;1.1292598;-1.6255064;classB
-1.1164551;-3.624962;-1.8659438;2.6404393;-2.6325686;-2.3947206;-1.6791085;classB
0.5695881;-0.79339856;-1.1058897;1.6455808;2.5164063;0.41131774;-0.39962438;classA
